state,account length,area code,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls
45,136,415,0,1,35,205.5,86,34.94,298.5,119,25.37,214.2,104,9.64,6.9,4,1.86,1
42,106,415,0,0,0,119.2,142,20.26,228.4,139,19.41,197.9,61,8.91,8.4,9,2.27,2
48,35,510,0,1,27,241.7,87,41.09,142.0,101,12.07,288.9,68,13.0,9.4,4,2.54,1
45,21,415,0,0,0,223.2,142,37.94,216.5,114,18.4,214.7,111,9.66,12.4,2,3.35,1
12,158,415,0,0,0,158.0,106,26.86,292.5,114,24.86,241.1,89,10.85,9.1,4,2.46,1
49,51,408,0,0,0,169.3,111,28.78,139.5,69,11.86,197.0,87,8.87,12.0,3,3.24,0
34,31,408,0,1,28,171.8,116,29.21,240.7,125,20.46,245.5,80,11.05,10.6,7,2.86,1
28,147,408,0,0,0,205.3,95,34.9,166.7,128,14.17,240.6,84,10.83,7.8,4,2.11,1
10,90,415,0,0,0,113.2,108,19.24,189.3,63,16.09,271.8,124,12.23,14.1,4,3.81,3
27,45,408,0,1,38,196.8,92,33.46,254.2,108,21.61,261.8,85,11.78,7.7,2,2.08,1
21,41,415,0,1,30,191.7,109,32.59,193.0,86,16.41,149.4,93,6.72,11.1,4,3.0,1
5,156,408,1,0,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,8.3,3,2.24,1
15,94,510,0,0,0,245.0,112,41.65,180.4,91,15.33,262.9,105,11.83,9.7,6,2.62,1
5,192,415,0,0,0,185.0,88,31.45,224.9,98,19.12,212.4,105,9.56,11.4,3,3.08,2
43,106,510,0,0,0,210.6,96,35.8,249.2,85,21.18,191.4,88,8.61,12.4,1,3.35,2
50,146,415,0,1,11,180.7,82,30.72,173.7,90,14.76,231.5,89,10.42,10.1,4,2.73,2
12,63,510,0,0,0,153.5,81,26.1,287.3,115,24.42,230.2,85,10.36,6.5,5,1.76,2
19,97,408,0,0,0,217.6,81,36.99,320.5,51,27.24,150.7,110,6.78,4.2,3,1.13,0
33,77,415,0,0,0,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5
15,100,415,0,1,32,125.2,123,21.28,230.9,101,19.63,192.0,106,8.64,12.6,9,3.4,3
41,221,510,0,1,24,180.5,85,30.69,224.1,92,19.05,205.7,103,9.26,2.4,3,0.65,0
22,52,415,0,0,0,204.4,97,34.75,273.2,128,23.22,179.6,118,8.08,11.0,5,2.97,1
44,100,408,0,0,0,179.1,123,30.45,196.6,132,16.71,186.7,116,8.4,10.2,10,2.75,1
6,199,415,0,1,34,230.6,121,39.2,219.4,99,18.65,299.3,94,13.47,8.0,2,2.16,0
32,93,415,0,0,0,239.8,70,40.77,251.8,99,21.4,168.6,112,7.59,10.9,10,2.94,1
3,104,408,0,0,0,167.6,116,28.49,219.2,112,18.63,215.9,94,9.72,11.7,2,3.16,4
32,30,415,0,0,0,169.9,144,28.88,225.2,118,19.14,169.7,93,7.64,11.4,7,3.08,1
10,73,408,0,0,0,157.6,92,26.79,198.3,87,16.86,364.9,106,16.42,9.1,4,2.46,1
50,105,415,0,0,0,102.8,74,17.48,281.7,125,23.94,228.1,113,10.26,13.2,5,3.56,2
24,56,415,0,0,0,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1
36,154,415,1,0,0,145.9,69,24.8,208.2,141,17.7,180.9,106,8.14,14.4,10,3.89,0
11,157,415,0,0,0,276.2,95,46.95,165.8,119,14.09,151.6,79,6.82,2.2,4,0.59,3
15,105,510,0,1,42,101.9,79,17.32,223.1,97,18.96,241.6,77,10.87,12.9,2,3.48,0
20,139,415,0,0,0,181.6,119,30.87,335.7,118,28.53,149.8,64,6.74,8.3,6,2.24,4
6,95,415,0,0,0,198.4,113,33.73,235.9,144,20.05,325.6,99,14.65,10.1,3,2.73,0
23,80,415,0,0,0,105.8,110,17.99,43.9,88,3.73,189.6,87,8.53,13.1,5,3.54,0
50,101,510,0,1,9,160.1,116,27.22,210.0,121,17.85,139.1,65,6.26,10.8,9,2.92,0
22,133,408,0,0,0,277.3,138,47.14,228.4,117,19.41,117.3,103,5.28,12.8,4,3.46,2
45,84,415,0,0,0,130.2,105,22.13,278.0,60,23.63,305.4,74,13.74,14.0,6,3.78,2
45,76,510,0,1,33,189.7,66,32.25,212.8,65,18.09,165.7,108,7.46,10.0,5,2.7,1
39,129,415,0,1,33,119.6,104,20.33,278.7,88,23.69,263.4,175,11.85,5.9,2,1.59,2
26,111,408,0,0,0,142.3,75,24.19,122.8,106,10.44,229.5,94,10.33,12.8,9,3.46,2
23,116,408,0,0,0,197.9,84,33.64,168.1,113,14.29,239.8,145,10.79,12.0,6,3.24,1
22,105,415,0,0,0,226.9,106,38.57,182.2,77,15.49,203.9,107,9.18,11.6,2,3.13,0
49,106,510,0,0,0,194.8,133,33.12,213.4,73,18.14,190.8,92,8.59,11.5,7,3.11,0
45,164,415,0,0,0,123.3,78,20.96,170.0,85,14.45,165.9,78,7.47,12.7,2,3.43,1
37,51,510,0,0,0,51.8,107,8.81,230.2,104,19.57,227.5,118,10.24,10.4,4,2.81,2
18,112,510,0,0,0,174.5,127,29.67,259.3,71,22.04,170.5,120,7.67,11.3,7,3.05,1
29,64,408,0,0,0,261.9,113,44.52,148.1,99,12.59,145.2,74,6.53,13.8,4,3.73,0
50,54,408,0,1,39,143.9,73,24.46,210.3,117,17.88,129.2,117,5.81,12.5,8,3.38,2
50,58,510,0,0,0,210.1,126,35.72,248.9,108,21.16,158.6,88,7.14,14.4,2,3.89,4
39,65,415,0,1,29,215.5,129,36.64,161.9,77,13.76,128.3,91,5.77,8.8,5,2.38,2
32,132,408,0,0,0,169.9,107,28.88,209.4,121,17.8,206.1,79,9.27,11.5,2,3.11,1
9,155,415,0,0,0,181.4,111,30.84,167.7,92,14.25,168.5,122,7.58,11.3,3,3.05,3
7,55,510,1,0,0,106.1,77,18.04,123.5,100,10.5,96.4,92,4.34,12.9,3,3.48,0
5,159,408,1,0,0,257.1,53,43.71,312.2,127,26.54,183.0,82,8.24,8.8,6,2.38,1
40,112,415,0,0,0,266.0,97,45.22,214.6,94,18.24,306.2,100,13.78,14.2,2,3.83,2
50,124,415,0,0,0,178.3,102,30.31,235.0,120,19.98,239.7,119,10.79,10.9,1,2.94,3
47,45,510,0,0,0,78.6,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2.0,1
30,50,408,0,0,0,154.7,102,26.3,298.0,108,25.33,210.2,95,9.46,11.1,3,3.0,0
40,49,415,1,0,0,237.8,92,40.43,208.9,119,17.76,167.8,86,7.55,15.6,6,4.21,2
9,106,408,0,0,0,178.4,143,30.33,247.0,123,21.0,259.9,105,11.7,9.6,2,2.59,0
43,52,415,0,0,0,155.0,110,26.35,133.4,104,11.34,176.1,84,7.92,7.0,4,1.89,4
40,64,510,0,1,37,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1
9,159,415,0,1,15,113.9,102,19.36,145.3,146,12.35,195.2,137,8.78,11.8,9,3.19,1
18,114,415,0,0,0,169.2,96,28.76,149.9,83,12.74,196.9,119,8.86,4.6,4,1.24,2
18,158,408,0,0,0,202.0,126,34.34,163.5,86,13.9,195.4,84,8.79,10.4,6,2.81,1
10,93,415,0,0,0,179.5,121,30.52,191.9,131,16.31,165.5,125,7.45,12.0,4,3.24,0
47,66,415,0,0,0,205.1,102,34.87,232.7,109,19.78,259.9,95,11.7,9.2,6,2.48,2
8,125,408,0,0,0,126.7,108,21.54,206.0,90,17.51,247.8,114,11.15,13.3,7,3.59,1
47,56,408,0,0,0,210.4,80,35.77,176.6,96,15.01,149.7,56,6.74,15.5,4,4.19,1
36,159,510,0,0,0,198.8,107,33.8,195.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5
44,105,415,0,0,0,106.4,71,18.09,240.1,83,20.41,147.7,114,6.65,5.3,4,1.43,6
34,139,510,0,0,0,236.6,109,40.22,169.9,107,14.44,212.3,118,9.55,11.1,2,3.0,1
18,95,415,0,0,0,141.1,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3
9,75,510,0,1,26,118.5,86,20.15,213.9,118,18.18,132.6,99,5.97,13.4,3,3.62,2
46,128,510,0,1,29,179.3,104,30.48,225.9,86,19.2,323.0,78,14.54,8.6,7,2.32,0
17,21,415,0,0,0,92.6,95,15.74,161.9,70,13.76,285.0,78,12.83,11.3,3,3.05,5
50,171,415,0,0,0,231.2,135,39.3,188.7,74,16.04,206.9,124,9.31,12.3,1,3.32,1
35,102,415,0,0,0,114.8,125,19.52,81.9,126,6.96,304.3,101,13.69,12.0,4,3.24,0
43,92,408,0,0,0,91.7,90,15.59,193.7,123,16.46,175.0,86,7.88,9.2,4,2.48,2
41,104,408,0,0,0,200.2,92,34.03,118.7,87,10.09,236.6,65,10.65,6.0,6,1.62,2
42,80,415,1,0,0,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1
3,87,510,0,0,0,110.9,91,18.85,158.5,115,13.47,207.5,131,9.34,6.2,5,1.67,1
12,120,415,0,1,33,299.5,83,50.92,163.4,84,13.89,146.7,88,6.6,11.6,5,3.13,0
15,122,408,0,0,0,296.4,99,50.39,214.8,89,18.26,133.9,107,6.03,11.4,3,3.08,4
15,117,415,1,1,22,196.0,82,33.32,322.7,82,27.43,225.6,120,10.15,3.7,5,1.0,1
12,113,408,0,0,0,193.8,99,32.95,221.4,125,18.82,172.3,67,7.75,10.6,6,2.86,1
29,89,415,0,1,29,163.5,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2
18,91,408,0,0,0,147.2,121,25.02,175.2,87,14.89,136.3,80,6.13,13.3,3,3.59,2
5,92,415,0,0,0,184.7,60,31.4,262.0,73,22.27,239.5,120,10.78,12.3,6,3.32,2
21,163,415,0,0,0,122.4,129,20.81,113.4,108,9.64,180.2,97,8.11,12.5,7,3.38,1
20,18,408,0,0,0,273.6,93,46.51,114.6,116,9.74,250.6,120,11.28,8.2,4,2.21,1
47,13,510,0,1,25,176.6,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2
31,80,415,0,0,0,268.7,120,45.68,301.0,147,25.59,167.0,140,7.52,5.8,1,1.57,2
22,126,415,1,1,26,129.3,123,21.98,176.5,114,15.0,154.5,102,6.95,9.6,7,2.59,1
29,154,415,0,0,0,191.4,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3
46,72,415,0,0,0,139.9,117,23.78,223.6,96,19.01,240.8,93,10.84,12.7,4,3.43,2
22,134,415,0,1,41,162.0,82,27.54,324.7,77,27.6,160.1,112,7.2,11.9,5,3.21,0
1,125,408,0,0,0,169.3,90,28.78,156.0,138,13.26,210.8,106,9.49,11.6,6,3.13,2
31,45,510,0,0,0,155.7,110,26.47,260.3,103,22.13,192.2,98,8.65,11.0,1,2.97,1
43,64,415,0,0,0,168.0,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2
6,74,408,0,0,0,157.1,95,26.71,213.1,36,18.11,280.4,77,12.62,7.6,3,2.05,2
42,67,415,0,0,0,179.8,125,30.57,173.2,86,14.72,272.8,97,12.28,10.9,4,2.94,0
47,83,415,0,0,0,221.4,103,37.64,231.8,103,19.7,122.5,100,5.51,9.8,5,2.65,3
12,130,415,0,0,0,150.4,119,25.57,230.5,99,19.59,186.3,76,8.38,12.3,4,3.32,1
23,59,408,0,1,32,211.9,120,36.02,202.9,136,17.25,213.5,95,9.61,8.8,5,2.38,1
37,177,408,0,0,0,84.9,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2
16,88,415,0,0,0,189.8,111,32.27,197.3,101,16.77,234.5,111,10.55,14.9,3,4.02,2
5,74,415,0,0,0,225.2,93,38.28,215.1,120,18.28,241.8,95,10.88,9.1,2,2.46,2
28,124,415,0,0,0,150.3,101,25.55,255.9,112,21.75,136.7,62,6.15,12.5,4,3.38,2
14,101,415,0,0,0,124.8,66,21.22,257.2,85,21.86,193.2,115,8.69,13.4,4,3.62,0
28,120,415,0,0,0,177.2,88,30.12,270.4,99,22.98,231.5,90,10.42,14.0,2,3.78,2
41,30,415,0,0,0,247.4,107,42.06,175.9,76,14.95,287.4,90,12.93,11.3,2,3.05,0
45,43,408,0,1,35,200.2,105,34.03,244.4,88,20.77,207.2,97,9.32,11.6,4,3.13,3
10,92,510,0,0,0,208.0,125,35.36,198.9,76,16.91,76.4,97,3.44,8.6,6,2.32,0
24,112,510,0,1,36,113.7,117,19.33,157.5,82,13.39,177.6,118,7.99,10.0,3,2.7,2
0,146,510,1,0,0,133.0,65,22.61,262.8,93,22.34,214.3,128,9.64,11.2,3,3.02,1
17,88,415,0,0,0,148.2,82,25.19,308.7,67,26.24,235.4,79,10.59,6.4,4,1.73,2
23,81,415,0,0,0,198.4,93,33.73,210.9,108,17.93,193.3,71,8.7,10.4,6,2.81,2
41,87,510,0,0,0,184.5,81,31.37,172.0,103,14.62,183.4,96,8.25,13.7,3,3.7,3
26,10,510,0,0,0,183.0,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2
35,115,510,1,0,0,345.3,81,58.7,203.4,106,17.29,217.5,107,9.79,11.8,8,3.19,1
32,122,408,0,1,33,174.9,103,29.73,248.2,105,21.1,164.6,116,7.41,13.5,3,3.65,1
42,63,415,0,0,0,164.5,75,27.97,147.9,118,12.57,252.7,97,11.37,11.2,2,3.02,0
20,76,415,1,0,0,273.3,66,46.46,263.6,121,22.41,165.2,84,7.43,12.0,7,3.24,1
28,145,415,0,0,0,245.8,116,41.79,286.7,91,24.37,240.7,115,10.83,9.0,13,2.43,1
48,153,510,0,0,0,159.5,103,27.12,275.5,90,23.42,176.7,126,7.95,10.1,2,2.73,1
18,151,408,0,0,0,178.7,116,30.38,292.1,138,24.83,265.9,101,11.97,9.8,4,2.65,0
3,136,510,0,0,0,92.0,117,15.64,253.6,77,21.56,214.1,90,9.63,10.3,10,2.78,1
28,166,510,0,0,0,197.9,89,33.64,251.0,113,21.34,138.3,85,6.22,11.2,2,3.02,2
49,139,415,0,0,0,271.6,130,46.17,156.0,131,13.26,136.3,108,6.13,11.6,9,3.13,2
33,129,415,0,0,0,150.0,98,25.5,232.4,101,19.75,261.2,123,11.75,12.5,6,3.38,1
6,56,415,0,0,0,162.3,99,27.59,149.1,78,12.67,255.5,115,11.5,14.8,1,4.0,4
19,150,408,0,1,27,209.8,112,35.67,155.0,80,13.18,251.5,111,11.32,7.2,6,1.94,0
41,139,510,0,0,0,196.0,135,33.32,186.0,146,15.81,153.0,92,6.89,9.8,1,2.65,3
34,54,510,1,0,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,11.2,8,3.02,3
41,114,415,0,1,36,309.9,90,52.68,200.3,89,17.03,183.5,105,8.26,14.2,2,3.83,1
50,80,510,0,0,0,101.1,121,17.19,263.2,110,22.37,137.7,74,6.2,7.3,5,1.97,0
34,160,408,0,0,0,216.8,77,36.86,207.3,117,17.62,228.6,117,10.29,5.6,2,1.51,1
16,65,415,0,1,34,208.8,119,35.5,142.1,106,12.08,214.6,87,9.66,12.5,4,3.38,4
44,49,415,0,0,0,266.3,90,45.27,207.8,117,17.66,205.0,98,9.23,14.0,2,3.78,2
1,115,510,0,1,14,192.3,86,32.69,88.7,90,7.54,229.4,120,10.32,10.5,3,2.84,2
32,62,415,0,0,0,245.3,91,41.7,122.9,130,10.45,228.4,102,10.28,8.5,4,2.3,4
34,150,415,0,1,35,139.6,72,23.73,332.8,170,28.29,213.8,105,9.62,8.8,2,2.38,2
38,140,408,0,0,0,112.8,89,19.18,156.7,65,13.32,249.6,85,11.23,16.3,6,4.4,0
1,102,408,0,0,0,224.7,81,38.2,129.4,112,11.0,167.6,109,7.54,15.8,6,4.27,1
49,80,415,0,1,38,236.6,69,40.22,197.5,68,16.79,209.5,102,9.43,9.5,10,2.57,2
19,118,408,1,0,0,160.0,123,27.2,175.4,96,14.91,184.8,99,8.32,9.9,3,2.67,2
10,76,415,0,0,0,299.5,125,50.92,226.7,92,19.27,210.7,134,9.48,13.7,4,3.7,0
6,70,408,0,0,0,198.6,111,33.76,213.9,115,18.18,171.2,105,7.7,10.6,6,2.86,2
22,137,510,0,0,0,206.4,122,35.09,128.0,102,10.88,194.5,84,8.75,8.8,5,2.38,2
45,130,408,0,0,0,211.2,119,35.9,231.1,120,19.64,220.9,80,9.94,6.3,9,1.7,2
50,78,408,0,0,0,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0
20,67,415,0,0,0,171.7,80,29.19,110.4,81,9.38,195.4,111,8.79,11.9,4,3.21,2
50,90,408,0,1,39,94.8,89,16.12,219.1,91,18.62,197.4,65,8.88,11.4,5,3.08,1
0,74,415,0,0,0,262.3,114,44.59,198.9,96,16.91,165.9,90,7.47,6.6,5,1.78,3
20,90,415,0,0,0,114.4,122,19.45,127.7,154,10.85,253.1,109,11.39,10.1,5,2.73,2
35,96,415,0,0,0,106.6,128,18.12,284.8,87,24.21,178.9,92,8.05,14.9,7,4.02,1
47,40,415,0,1,41,148.1,74,25.18,169.5,88,14.41,214.1,102,9.63,6.2,5,1.67,2
25,189,415,0,0,0,227.8,124,38.73,169.5,112,14.41,201.1,91,9.05,5.6,4,1.51,3
46,124,415,0,0,0,178.4,72,30.33,233.6,134,19.86,179.4,91,8.07,12.0,2,3.24,0
4,95,415,0,0,0,183.4,98,31.18,281.3,95,23.91,105.2,113,4.73,8.2,8,2.21,1
2,33,415,1,0,0,164.0,99,27.88,153.1,102,13.01,123.8,104,5.57,6.4,4,1.73,0
19,71,510,0,0,0,290.4,108,49.37,253.9,92,21.58,263.3,126,11.85,10.1,5,2.73,3
45,80,415,0,0,0,197.5,114,33.58,206.9,119,17.59,163.6,109,7.36,11.3,4,3.05,1
20,93,408,1,0,0,312.0,109,53.04,129.4,100,11.0,217.6,74,9.79,10.5,2,2.84,0
22,109,415,1,1,26,217.2,138,36.92,145.5,111,12.37,280.7,76,12.63,9.3,3,2.51,0
49,64,415,0,1,22,200.4,80,34.07,131.1,84,11.14,230.7,67,10.38,7.6,5,2.05,1
48,120,408,0,1,26,239.4,94,40.7,259.4,88,22.05,238.0,132,10.71,7.7,3,2.08,0
29,21,510,0,0,0,225.0,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0
4,103,415,0,1,18,149.9,84,25.48,170.9,84,14.53,171.5,112,7.72,11.5,7,3.11,0
8,64,415,0,1,27,201.3,101,34.22,143.8,89,12.22,150.2,127,6.76,12.3,3,3.32,1
14,81,415,0,1,31,210.4,100,35.77,225.5,97,19.17,168.7,120,7.59,9.7,4,2.62,0
10,71,415,0,0,0,258.4,132,43.93,126.8,119,10.78,182.4,87,8.21,9.7,8,2.62,4
3,90,415,0,0,0,179.2,77,30.46,210.7,99,17.91,276.9,58,12.46,9.2,6,2.48,2
8,79,415,0,1,34,103.7,100,17.63,236.3,78,20.09,256.6,102,11.55,14.8,4,4.0,2
38,176,415,0,0,0,169.5,151,28.82,112.9,84,9.6,56.6,99,2.55,8.7,4,2.35,0
42,3,510,1,0,0,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1
35,56,408,0,0,0,91.1,90,15.49,179.3,115,15.24,300.7,89,13.53,11.9,8,3.21,2
48,51,408,0,0,0,197.8,60,33.63,221.0,64,18.79,168.6,134,7.59,8.9,5,2.4,1
35,114,415,0,0,0,187.8,109,31.93,154.6,97,13.14,213.9,102,9.63,10.1,3,2.73,2
24,101,415,0,1,29,121.1,116,20.59,186.4,100,15.84,241.7,75,10.88,10.1,6,2.73,0
13,77,415,0,0,0,251.8,72,42.81,205.7,126,17.48,275.2,109,12.38,9.8,7,2.65,2
32,147,408,1,0,0,183.8,113,31.25,164.7,110,14.0,111.0,87,5.0,10.1,4,2.73,1
35,119,415,0,1,27,220.1,128,37.42,268.2,133,22.8,146.5,80,6.59,11.1,3,3.0,0
31,42,415,0,1,32,163.8,80,27.85,177.8,123,15.11,190.4,106,8.57,8.1,5,2.19,0
36,91,408,0,1,31,273.0,78,46.41,215.5,98,18.32,104.7,114,4.71,9.6,2,2.59,1
7,100,510,1,0,0,68.5,110,11.65,337.1,115,28.65,205.2,99,9.23,12.1,9,3.27,0
0,76,415,0,1,22,160.1,107,27.22,168.7,136,14.34,23.2,102,1.04,9.5,4,2.57,3
42,105,510,0,0,0,119.3,82,20.28,185.1,111,15.73,157.0,74,7.07,10.9,4,2.94,2
16,121,408,0,0,0,150.7,105,25.62,197.3,133,16.77,169.0,116,7.61,9.2,15,2.48,1
9,55,510,0,1,45,130.5,114,22.19,208.4,94,17.71,141.6,114,6.37,11.0,5,2.97,4
32,73,415,0,0,0,214.3,145,36.43,268.5,135,22.82,241.2,92,10.85,10.8,13,2.92,1
5,98,408,0,0,0,236.2,122,40.15,189.4,110,16.1,153.6,104,6.91,13.3,4,3.59,0
37,190,415,0,0,0,142.9,96,24.29,177.9,96,15.12,113.3,117,5.1,6.6,4,1.78,0
26,71,510,0,1,23,175.7,82,29.87,258.9,136,22.01,268.4,154,12.08,14.1,7,3.81,1
49,77,510,0,0,0,67.7,68,11.51,195.7,86,16.63,236.5,137,10.64,12.0,2,3.24,1
27,172,408,0,1,47,274.9,102,46.73,186.6,118,15.86,245.0,123,11.03,8.8,2,2.38,1
31,106,415,0,0,0,191.4,124,32.54,200.7,116,17.06,230.1,76,10.35,8.2,3,2.21,1
26,49,408,0,0,0,236.6,91,40.22,220.9,146,18.78,146.8,114,6.61,8.9,2,2.4,1
45,127,408,0,1,25,173.0,91,29.41,245.8,64,20.89,300.0,99,13.5,4.8,3,1.3,0
45,172,510,0,0,0,169.8,123,28.87,183.1,94,15.56,395.0,72,17.77,12.7,7,3.43,2
26,28,415,0,0,0,121.7,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6
15,205,510,0,0,0,49.9,123,8.48,150.7,81,12.81,188.2,67,8.47,10.1,4,2.73,2
27,63,415,0,1,29,142.3,107,24.19,118.7,56,10.09,240.1,91,10.8,6.6,8,1.78,1
5,110,510,0,0,0,131.9,93,22.42,272.7,106,23.18,192.8,105,8.68,7.1,4,1.92,1
29,117,415,0,0,0,102.8,119,17.48,206.7,91,17.57,299.0,105,13.46,10.1,7,2.73,1
2,99,510,1,0,0,242.3,102,41.19,350.9,102,29.83,163.1,93,7.34,11.3,3,3.05,0
1,112,510,0,0,0,189.4,83,32.2,219.0,89,18.62,168.0,116,7.56,7.1,8,1.92,3
41,138,510,0,0,0,127.1,102,21.61,247.7,106,21.05,207.7,75,9.35,5.0,3,1.35,3
10,122,510,1,0,0,140.0,101,23.8,196.4,77,16.69,120.1,133,5.4,9.7,4,2.62,4
50,90,415,0,0,0,207.2,121,35.22,292.5,104,24.86,226.3,103,10.18,8.0,1,2.16,2
45,112,408,0,1,29,198.8,122,33.8,238.6,114,20.28,289.5,69,13.03,11.5,5,3.11,1
17,55,415,0,1,28,105.3,82,17.9,197.4,109,16.78,187.5,91,8.44,8.6,6,2.32,2
17,64,415,1,0,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,12.5,3,3.38,3
40,111,415,0,0,0,110.4,103,18.77,137.3,102,11.67,189.6,105,8.53,7.7,6,2.08,2
41,52,510,1,0,0,251.4,118,42.74,196.6,80,16.71,192.0,53,8.64,11.0,2,2.97,0
24,6,510,0,0,0,183.6,117,31.21,256.7,72,21.82,178.6,79,8.04,10.2,2,2.75,1
24,58,415,0,0,0,149.4,145,25.4,196.5,105,16.7,209.5,108,9.43,14.9,3,4.02,1
35,93,415,0,1,42,152.3,90,25.89,267.5,102,22.74,266.9,130,12.01,11.3,5,3.05,7
11,149,510,0,0,0,166.6,61,28.32,218.8,107,18.6,208.3,131,9.37,8.2,6,2.21,7
8,51,415,1,0,0,153.6,108,26.11,232.9,85,19.8,214.2,92,9.64,14.1,4,3.81,0
48,91,510,0,0,0,217.9,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1
17,108,408,0,0,0,73.8,105,12.55,143.4,114,12.19,170.2,98,7.66,10.9,3,2.94,2
48,85,408,1,0,0,165.4,107,28.12,196.0,126,16.66,349.2,110,15.71,9.6,7,2.59,2
7,130,510,0,0,0,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6.0,1,1.62,2
34,41,415,0,0,0,209.9,105,35.68,121.9,105,10.36,253.7,104,11.42,9.6,4,2.59,1
25,1,415,0,0,0,144.8,107,24.62,112.5,66,9.56,218.7,79,9.84,13.8,3,3.73,1
40,111,415,0,1,21,127.1,94,21.61,228.3,116,19.41,166.7,108,7.5,7.1,3,1.92,1
22,61,415,0,0,0,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2
43,110,415,0,1,38,236.3,102,40.17,195.9,112,16.65,183.5,82,8.26,9.7,6,2.62,1
46,84,415,0,1,42,214.3,112,36.43,188.2,107,16.0,333.5,117,15.01,11.3,10,3.05,0
6,31,415,0,1,31,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,3,1.59,0
9,120,415,0,0,0,184.5,103,31.37,209.0,86,17.77,169.7,70,7.64,10.2,6,2.75,2
17,89,408,0,0,0,192.1,83,32.66,163.6,88,13.91,169.7,138,7.64,6.1,3,1.65,0
46,113,415,0,0,0,272.1,111,46.26,268.5,118,22.82,213.8,105,9.62,8.5,10,2.3,1
16,137,408,0,0,0,205.9,88,35.0,209.3,86,17.79,289.9,84,13.05,14.5,4,3.92,2
48,165,510,0,0,0,154.2,91,26.21,268.6,108,22.83,188.8,99,8.5,10.9,4,2.94,6
39,112,510,0,0,0,194.4,101,33.05,190.3,82,16.18,183.4,107,8.25,11.4,2,3.08,0
10,194,510,0,0,0,193.3,106,32.86,169.0,150,14.37,225.2,122,10.13,11.8,4,3.19,0
43,37,510,1,0,0,172.9,119,29.39,183.0,86,15.56,226.4,100,10.19,9.8,1,2.65,0
32,87,510,1,0,0,167.3,119,28.44,198.5,119,16.87,133.1,88,5.99,11.0,6,2.97,1
48,63,510,0,1,34,152.2,119,25.87,227.1,91,19.3,195.7,103,8.81,12.3,5,3.32,1
40,101,415,0,0,0,158.4,92,26.93,188.0,117,15.98,219.7,125,9.89,13.5,4,3.65,4
14,137,408,1,0,0,237.3,103,40.34,176.7,84,15.02,263.4,81,11.85,14.2,4,3.83,0
48,120,415,0,1,29,244.3,140,41.53,322.3,89,27.4,166.8,83,7.51,10.6,6,2.86,0
5,23,408,0,0,0,190.2,89,32.33,166.4,108,14.14,219.8,73,9.89,15.0,4,4.05,6
15,94,408,0,0,0,157.9,105,26.84,155.0,101,13.18,189.6,84,8.53,8.0,5,2.16,4
5,63,408,1,1,21,151.5,99,25.76,147.8,89,12.56,210.4,114,9.47,10.0,4,2.7,1
31,57,510,1,0,0,115.0,65,19.55,122.3,96,10.4,245.0,75,11.03,6.4,1,1.73,0
41,87,415,0,1,33,125.0,99,21.25,235.3,81,20.0,215.3,95,9.69,10.2,7,2.75,2
46,85,415,0,0,0,176.4,122,29.99,224.9,123,19.12,219.6,50,9.88,11.5,1,3.11,1
26,95,510,0,0,0,156.6,88,26.62,247.6,75,21.05,192.3,115,8.65,12.3,5,3.32,3
19,160,408,0,0,0,166.8,109,28.36,236.0,117,20.06,307.6,77,13.84,9.3,1,2.51,1
35,61,510,1,1,16,143.5,76,24.4,242.6,58,20.62,147.7,95,6.65,11.3,3,3.05,0
31,75,415,0,1,42,248.9,93,42.31,170.8,108,14.52,104.5,91,4.7,11.2,8,3.02,1
